RASSF1,RASSF2,RASSF3,RASSF4,RASSF5,RASSF6,RASSF7,RASSF8,RASSF9,RASSF10,Sample,Patient_ID
544.781,1741.08,1276.43,980.158,695.286,6.3973,329.966,804.377,1.6835,2.0202,TCGA-EE-A181-06,TCGA-EE-A181
599.72,222.274,292.637,349.953,278.658,0.466,179.869,128.145,0.466,6.9897,TCGA-EE-A182-06,TCGA-EE-A182
1363.54,1248.11,897.519,384.581,1092.77,3.2362,373.966,272.204,7.1917,0.7192,TCGA-EE-A183-06,TCGA-EE-A183
638.131,2698.69,2826.54,462.056,448.598,3.7383,277.009,528.598,0.7477,5.2336,TCGA-EE-A184-06,TCGA-EE-A184
759.668,107.182,1520.99,53.0387,31.4917,0.5525,227.072,456.906,0.5525,5.5249,TCGA-EE-A185-06,TCGA-EE-A185
638.363,321.601,421.909,679.943,298.284,7.919,241.531,1345.36,17.1579,1.3198,TCGA-EE-A20B-06,TCGA-EE-A20B
466.887,135.43,498.344,107.285,196.026,0,195.364,1781.13,0.6623,0,TCGA-EE-A20C-06,TCGA-EE-A20C
212.284,986.385,744.4,1071.3,290.132,2.5011,402.683,1121.76,6.5655,0,TCGA-EE-A20F-06,TCGA-EE-A20F
163.726,287.846,192.176,205.007,222.579,1.9524,216.164,652.953,4.4627,11.9936,TCGA-EE-A20H-06,TCGA-EE-A20H
558.742,1372.31,1475.18,207.667,187.535,0,124.379,666.575,6.8946,0,TCGA-EE-A20I-06,TCGA-EE-A20I
641.377,254.596,187.015,125.81,102.433,0,182.765,2449.05,6.8006,2.9752,TCGA-EE-A29A-06,TCGA-EE-A29A
